rank,feature,gain,split_count
587,feature_bk_lag_1,79796.6416015625,3
588,feature_bb_rolling_mean_7,79308.63989257812,5
589,feature_bc_rolling_mean_7,79199.318359375,2
590,feature_av_rolling_mean_7,78054.85986328125,6
591,feature_m_rolling_std_7,77556.169921875,7
592,feature_ch_rolling_mean_7,77166.3291015625,6
593,feature_bt_rolling_mean_3,74954.900390625,2
594,feature_ag_lag_1,74835.21142578125,7
595,feature_bj_rolling_mean_3,72693.80078125,4
596,feature_ae_lag_3,72688.669921875,4
597,feature_bw_lag_3,72298.5,1
598,feature_t_lag_21,72129.51953125,5
599,feature_bs_lag_14,72092.38159179688,3
600,feature_ch_rolling_mean_3,70875.89892578125,3
601,feature_ag_lag_5,70148.46044921875,7
602,feature_ao_rolling_std_7,70123.8984375,2
603,feature_ch_lag_1,69734.69921875,4
